x,y,z
-0.008,0.049,15.000
0.003,-0.007,15.000
0.039,-0.053,15.000
0.122,-0.110,15.000
0.300,-0.176,14.997
0.542,-0.218,14.990
0.843,-0.231,14.976
1.200,-0.213,14.952
1.608,-0.162,14.914
2.065,-0.078,14.857
2.564,0.038,14.779
3.101,0.187,14.676
3.668,0.366,14.545
4.260,0.575,14.382
4.867,0.809,14.188
5.483,1.067,13.962
6.100,1.345,13.704
6.709,1.639,13.416
7.301,1.948,13.103
7.871,2.269,12.769
8.417,2.601,12.416
8.934,2.933,12.049
9.417,3.261,11.676
9.860,3.580,11.304
10.267,3.887,10.936
10.635,4.167,10.578
10.959,4.411,10.242
11.234,4.611,9.940
11.455,4.762,9.684
11.618,4.865,9.488
11.753,4.936,9.320
