x,y,z
5.430,0.162,49.704
5.349,0.177,49.713
5.257,0.198,49.723
5.136,0.226,49.735
4.988,0.258,49.751
4.815,0.296,49.768
4.620,0.339,49.786
4.409,0.386,49.805
4.185,0.433,49.825
3.951,0.479,49.844
3.710,0.518,49.862
3.461,0.550,49.880
3.205,0.574,49.897
2.945,0.591,49.913
2.685,0.599,49.928
2.423,0.597,49.941
2.162,0.587,49.953
1.905,0.570,49.964
1.655,0.547,49.973
1.415,0.518,49.980
1.186,0.483,49.986
0.973,0.443,49.991
0.776,0.399,49.994
0.598,0.351,49.996
0.441,0.300,49.998
0.305,0.247,49.999
0.194,0.193,50.000
0.107,0.138,50.000
0.044,0.084,50.000
0.009,0.033,50.000
0.003,0.019,50.000
