x,y,z
0.003,0.023,40.000
0.000,-0.004,40.000
0.011,-0.029,40.000
0.040,-0.065,40.000
0.112,-0.117,40.000
0.215,-0.166,39.999
0.347,-0.210,39.998
0.510,-0.247,39.997
0.699,-0.277,39.994
0.915,-0.298,39.990
1.156,-0.310,39.983
1.419,-0.313,39.975
1.701,-0.306,39.964
2.002,-0.291,39.950
2.316,-0.267,39.933
2.641,-0.236,39.913
2.974,-0.196,39.889
3.311,-0.150,39.863
3.649,-0.097,39.833
3.983,-0.037,39.801
4.314,0.028,39.767
4.637,0.096,39.730
4.949,0.165,39.693
5.246,0.234,39.655
5.527,0.302,39.616
5.789,0.362,39.579
6.026,0.412,39.543
6.232,0.449,39.512
6.400,0.474,39.485
6.525,0.487,39.464
6.629,0.492,39.447
