x,y,z
6.629,0.492,39.447
6.529,0.506,39.464
6.416,0.527,39.482
6.268,0.554,39.506
6.086,0.586,39.534
5.872,0.623,39.567
5.633,0.666,39.601
5.374,0.711,39.637
5.098,0.757,39.674
4.810,0.800,39.710
4.514,0.835,39.744
4.207,0.860,39.778
3.893,0.877,39.810
3.575,0.884,39.840
3.256,0.879,39.867
2.936,0.862,39.892
2.617,0.836,39.914
2.303,0.801,39.934
1.998,0.759,39.950
1.705,0.711,39.964
1.428,0.656,39.975
1.168,0.596,39.983
0.929,0.531,39.989
0.714,0.463,39.994
0.524,0.392,39.997
0.361,0.319,39.998
0.227,0.246,39.999
0.123,0.175,40.000
0.050,0.105,40.000
0.009,0.041,40.000
0.003,0.023,40.000
